run_date,product,source_scope,outlet,title,url,main_topic,briefing_relevance,quality,noise_type,reason
2026-06-13,regiones,reg,Sabes,Gore Biobío espera aprobar durante junio dineros para el REC 2027,https://sabes.cl/2026/06/13/gore-biobio-espera-aprobar-durante-junio-dineros-para-el-rec-2027,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Sabes,Incendio destruye histórica escuela inaugurada por Balmaceda: Municipio lamenta pérdida patrimonial,https://sabes.cl/2026/06/13/incendio-destruye-historica-escuela-inaugurada-por-balmaceda-municipio-lamenta-perdida-patrimonial,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Sabes,"Plan ""Sitio Eriazo Cero"" en Concepción: Ministro Poduje entrega terreno en Barrio Norte para construir moderno polideportivo",https://sabes.cl/2026/06/13/plan-sitio-eriazo-cero-en-concepcion-ministro-poduje-entrega-terreno-en-barrio-norte-para-construir-moderno-polideportivo,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Diarioregionalaysen,Seremi de Culturas Aysén abre becas para diplomado en la U. Los Lagos - Diario Regional Aysén,https://www.diarioregionalaysen.cl/noticia/educacion/2026/06/seremi-de-culturas-aysen-abre-becas-para-diplomado-en-la-u-los-lagos,cultura,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Diarioregionalaysen,Pequeño coyhaiquino con enfermedad sanguínea busca acceder a tratamiento que podría cambiar su vida - Diario Regional Aysén,https://www.diarioregionalaysen.cl/noticia/actualidad/2026/06/pequeno-coyhaiquino-con-enfermedad-sanguinea-busca-acceder-a-tratamiento-que-podria-cambiar-su-vida,salud,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Diarioregionalaysen,Aysén participó en el VIII Encuentro de Comunidades Portal - Diario Regional Aysén,https://www.diarioregionalaysen.cl/noticia/actualidad/2026/06/aysen-participo-en-el-viii-encuentro-de-comunidades-portal,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Diarioregionalaysen,Hospital Regional de Coyhaique dio a conocer su Cuenta Pública Participativa - Diario Regional Aysén,https://www.diarioregionalaysen.cl/noticia/salud/2026/06/hospital-regional-de-coyhaique-dio-a-conocer-su-cuenta-publica-participativa,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Diarioregionalaysen,Cuando enseñar era un desafío: el legado de la primera profesora de Caleta Tortel - Diario Regional Aysén,https://www.diarioregionalaysen.cl/noticia/historias-diariosur/2026/06/cuando-ensenar-era-un-desafio-el-legado-de-la-primera-profesora-de-caleta-tortel,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Elmagallanews,Irán enfría expectativas y posterga firma de acuerdo con Estados Unidos en medio de tensas negociaciones,https://www.elmagallanews.cl/noticia/politica/iran-enfria-expectativas-y-posterga-firma-de-acuerdo-con-estados-unidos-en-medio-de,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Elmagallanews,Regiones Más Fuertes: autoridades regionales presentarán agenda de autonomía al Presidente Kast,https://www.elmagallanews.cl/noticia/politica/regiones-mas-fuertes-autoridades-regionales-presentaran-agenda-de-autonomia-al-pres,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
